Algorithm,Frames,PageFaults,HitRate,TestFile
FIFO,10,76,24.00,test_cases/test_10frames_1.txt
Optimal,10,58,42.00,test_cases/test_10frames_1.txt
LRU,10,79,21.00,test_cases/test_10frames_1.txt
LFU,10,80,20.00,test_cases/test_10frames_1.txt
MFU,10,83,17.00,test_cases/test_10frames_1.txt
FIFO,10,82,18.00,test_cases/test_10frames_2.txt
Optimal,10,59,41.00,test_cases/test_10frames_2.txt
LRU,10,82,18.00,test_cases/test_10frames_2.txt
LFU,10,85,15.00,test_cases/test_10frames_2.txt
MFU,10,84,16.00,test_cases/test_10frames_2.txt
FIFO,10,87,13.00,test_cases/test_10frames_3.txt
Optimal,10,62,38.00,test_cases/test_10frames_3.txt
LRU,10,86,14.00,test_cases/test_10frames_3.txt
LFU,10,83,17.00,test_cases/test_10frames_3.txt
MFU,10,79,21.00,test_cases/test_10frames_3.txt
FIFO,10,88,12.00,test_cases/test_10frames_4.txt
Optimal,10,60,40.00,test_cases/test_10frames_4.txt
LRU,10,90,10.00,test_cases/test_10frames_4.txt
LFU,10,85,15.00,test_cases/test_10frames_4.txt
MFU,10,88,12.00,test_cases/test_10frames_4.txt
FIFO,10,80,20.00,test_cases/test_10frames_5.txt
Optimal,10,58,42.00,test_cases/test_10frames_5.txt
LRU,10,81,19.00,test_cases/test_10frames_5.txt
LFU,10,80,20.00,test_cases/test_10frames_5.txt
MFU,10,76,24.00,test_cases/test_10frames_5.txt
FIFO,15,71,29.00,test_cases/test_15frames_1.txt
Optimal,15,49,51.00,test_cases/test_15frames_1.txt
LRU,15,71,29.00,test_cases/test_15frames_1.txt
LFU,15,77,23.00,test_cases/test_15frames_1.txt
MFU,15,79,21.00,test_cases/test_15frames_1.txt
FIFO,15,70,30.00,test_cases/test_15frames_2.txt
Optimal,15,48,52.00,test_cases/test_15frames_2.txt
LRU,15,75,25.00,test_cases/test_15frames_2.txt
LFU,15,70,30.00,test_cases/test_15frames_2.txt
MFU,15,66,34.00,test_cases/test_15frames_2.txt
FIFO,15,69,31.00,test_cases/test_15frames_3.txt
Optimal,15,48,52.00,test_cases/test_15frames_3.txt
LRU,15,68,32.00,test_cases/test_15frames_3.txt
LFU,15,72,28.00,test_cases/test_15frames_3.txt
MFU,15,64,36.00,test_cases/test_15frames_3.txt
FIFO,15,70,30.00,test_cases/test_15frames_4.txt
Optimal,15,47,53.00,test_cases/test_15frames_4.txt
LRU,15,71,29.00,test_cases/test_15frames_4.txt
LFU,15,70,30.00,test_cases/test_15frames_4.txt
MFU,15,70,30.00,test_cases/test_15frames_4.txt
FIFO,15,72,28.00,test_cases/test_15frames_5.txt
Optimal,15,48,52.00,test_cases/test_15frames_5.txt
LRU,15,69,31.00,test_cases/test_15frames_5.txt
LFU,15,67,33.00,test_cases/test_15frames_5.txt
MFU,15,75,25.00,test_cases/test_15frames_5.txt
FIFO,20,67,33.00,test_cases/test_20frames_1.txt
Optimal,20,47,53.00,test_cases/test_20frames_1.txt
LRU,20,63,37.00,test_cases/test_20frames_1.txt
LFU,20,65,35.00,test_cases/test_20frames_1.txt
MFU,20,70,30.00,test_cases/test_20frames_1.txt
FIFO,20,65,35.00,test_cases/test_20frames_2.txt
Optimal,20,42,58.00,test_cases/test_20frames_2.txt
LRU,20,63,37.00,test_cases/test_20frames_2.txt
LFU,20,59,41.00,test_cases/test_20frames_2.txt
MFU,20,60,40.00,test_cases/test_20frames_2.txt
FIFO,20,65,35.00,test_cases/test_20frames_3.txt
Optimal,20,47,53.00,test_cases/test_20frames_3.txt
LRU,20,65,35.00,test_cases/test_20frames_3.txt
LFU,20,60,40.00,test_cases/test_20frames_3.txt
MFU,20,64,36.00,test_cases/test_20frames_3.txt
FIFO,20,67,33.00,test_cases/test_20frames_4.txt
Optimal,20,44,56.00,test_cases/test_20frames_4.txt
LRU,20,64,36.00,test_cases/test_20frames_4.txt
LFU,20,62,38.00,test_cases/test_20frames_4.txt
MFU,20,57,43.00,test_cases/test_20frames_4.txt
FIFO,20,60,40.00,test_cases/test_20frames_5.txt
Optimal,20,43,57.00,test_cases/test_20frames_5.txt
LRU,20,63,37.00,test_cases/test_20frames_5.txt
LFU,20,68,32.00,test_cases/test_20frames_5.txt
MFU,20,61,39.00,test_cases/test_20frames_5.txt
FIFO,25,59,41.00,test_cases/test_25frames_1.txt
Optimal,25,44,56.00,test_cases/test_25frames_1.txt
LRU,25,61,39.00,test_cases/test_25frames_1.txt
LFU,25,53,47.00,test_cases/test_25frames_1.txt
MFU,25,61,39.00,test_cases/test_25frames_1.txt
FIFO,25,52,48.00,test_cases/test_25frames_2.txt
Optimal,25,41,59.00,test_cases/test_25frames_2.txt
LRU,25,52,48.00,test_cases/test_25frames_2.txt
LFU,25,64,36.00,test_cases/test_25frames_2.txt
MFU,25,59,41.00,test_cases/test_25frames_2.txt
FIFO,25,64,36.00,test_cases/test_25frames_3.txt
Optimal,25,46,54.00,test_cases/test_25frames_3.txt
LRU,25,63,37.00,test_cases/test_25frames_3.txt
LFU,25,60,40.00,test_cases/test_25frames_3.txt
MFU,25,63,37.00,test_cases/test_25frames_3.txt
FIFO,25,60,40.00,test_cases/test_25frames_4.txt
Optimal,25,45,55.00,test_cases/test_25frames_4.txt
LRU,25,65,35.00,test_cases/test_25frames_4.txt
LFU,25,61,39.00,test_cases/test_25frames_4.txt
MFU,25,63,37.00,test_cases/test_25frames_4.txt
FIFO,25,59,41.00,test_cases/test_25frames_5.txt
Optimal,25,42,58.00,test_cases/test_25frames_5.txt
LRU,25,56,44.00,test_cases/test_25frames_5.txt
LFU,25,53,47.00,test_cases/test_25frames_5.txt
MFU,25,57,43.00,test_cases/test_25frames_5.txt
FIFO,30,52,48.00,test_cases/test_30frames_1.txt
Optimal,30,45,55.00,test_cases/test_30frames_1.txt
LRU,30,56,44.00,test_cases/test_30frames_1.txt
LFU,30,53,47.00,test_cases/test_30frames_1.txt
MFU,30,51,49.00,test_cases/test_30frames_1.txt
FIFO,30,48,52.00,test_cases/test_30frames_2.txt
Optimal,30,41,59.00,test_cases/test_30frames_2.txt
LRU,30,47,53.00,test_cases/test_30frames_2.txt
LFU,30,44,56.00,test_cases/test_30frames_2.txt
MFU,30,47,53.00,test_cases/test_30frames_2.txt
FIFO,30,57,43.00,test_cases/test_30frames_3.txt
Optimal,30,45,55.00,test_cases/test_30frames_3.txt
LRU,30,57,43.00,test_cases/test_30frames_3.txt
LFU,30,60,40.00,test_cases/test_30frames_3.txt
MFU,30,61,39.00,test_cases/test_30frames_3.txt
FIFO,30,48,52.00,test_cases/test_30frames_4.txt
Optimal,30,45,55.00,test_cases/test_30frames_4.txt
LRU,30,48,52.00,test_cases/test_30frames_4.txt
LFU,30,50,50.00,test_cases/test_30frames_4.txt
MFU,30,51,49.00,test_cases/test_30frames_4.txt
FIFO,30,49,51.00,test_cases/test_30frames_5.txt
Optimal,30,43,57.00,test_cases/test_30frames_5.txt
LRU,30,51,49.00,test_cases/test_30frames_5.txt
LFU,30,48,52.00,test_cases/test_30frames_5.txt
MFU,30,50,50.00,test_cases/test_30frames_5.txt
FIFO,3,93,7.00,test_cases/test_3frames_1.txt
Optimal,3,81,19.00,test_cases/test_3frames_1.txt
LRU,3,93,7.00,test_cases/test_3frames_1.txt
LFU,3,93,7.00,test_cases/test_3frames_1.txt
MFU,3,91,9.00,test_cases/test_3frames_1.txt
FIFO,3,94,6.00,test_cases/test_3frames_2.txt
Optimal,3,79,21.00,test_cases/test_3frames_2.txt
LRU,3,94,6.00,test_cases/test_3frames_2.txt
LFU,3,93,7.00,test_cases/test_3frames_2.txt
MFU,3,94,6.00,test_cases/test_3frames_2.txt
FIFO,3,96,4.00,test_cases/test_3frames_3.txt
Optimal,3,82,18.00,test_cases/test_3frames_3.txt
LRU,3,96,4.00,test_cases/test_3frames_3.txt
LFU,3,98,2.00,test_cases/test_3frames_3.txt
MFU,3,98,2.00,test_cases/test_3frames_3.txt
FIFO,3,91,9.00,test_cases/test_3frames_4.txt
Optimal,3,78,22.00,test_cases/test_3frames_4.txt
LRU,3,91,9.00,test_cases/test_3frames_4.txt
LFU,3,92,8.00,test_cases/test_3frames_4.txt
MFU,3,89,11.00,test_cases/test_3frames_4.txt
FIFO,3,96,4.00,test_cases/test_3frames_5.txt
Optimal,3,80,20.00,test_cases/test_3frames_5.txt
LRU,3,96,4.00,test_cases/test_3frames_5.txt
LFU,3,98,2.00,test_cases/test_3frames_5.txt
MFU,3,96,4.00,test_cases/test_3frames_5.txt
FIFO,5,91,9.00,test_cases/test_5frames_1.txt
Optimal,5,73,27.00,test_cases/test_5frames_1.txt
LRU,5,92,8.00,test_cases/test_5frames_1.txt
LFU,5,89,11.00,test_cases/test_5frames_1.txt
MFU,5,93,7.00,test_cases/test_5frames_1.txt
FIFO,5,90,10.00,test_cases/test_5frames_2.txt
Optimal,5,69,31.00,test_cases/test_5frames_2.txt
LRU,5,90,10.00,test_cases/test_5frames_2.txt
LFU,5,84,16.00,test_cases/test_5frames_2.txt
MFU,5,84,16.00,test_cases/test_5frames_2.txt
